Company Name,Company Profile,Role,Medium,LinkedIn Connect,LinkedIn Msg,Resume,Link,Status,Interview Schedule,Follow Up
Abroad Works,https://www.linkedin.com/company/abroadworks/,Prompt Engineer,LinkedIn,Arturo Bantugan,No,https://drive.google.com/file/d/1Nc4WTW-38CO3TAWsMdDmSs5VICn_0CHj/view?usp=sharing,https://user.abroadworks.com/my-jobs,Done,No,No
naptha.ai,https://www.linkedin.com/company/napthaai/,AI Engineer,LinkedIn,,No,https://drive.google.com/file/d/1PTQbw9tWW03mm3bkyB79bYBljjQambjo/view?usp=sharing,https://naptha.ai/careers?ashby_jid=30c90b3a-8887-42be-9a84-921e08933ca6,Pending,No,No
